id,sample,sample_type,patient,platform,lane,forward_file_name,reverse_file_name
EC_FD_L_022_N_1,FD_L_022_N,N,FD_L_022,DNBSEQ,V350036048,/data/storage/checked/Endometrial_cancer/EC_FD_L_022_N_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_022_N_1.R2.fastq.gz
EC_FD_L_022_N_2,FD_L_022_N,N,FD_L_022,DNBSEQ,V350036025,/data/storage/checked/Endometrial_cancer/EC_FD_L_022_N_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_022_N_2.R2.fastq.gz
EC_FD_L_022_N_3,FD_L_022_N,N,FD_L_022,DNBSEQ,V350036025,/data/storage/checked/Endometrial_cancer/EC_FD_L_022_N_3.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_022_N_3.R2.fastq.gz
EC_FD_L_022_N_4,FD_L_022_N,N,FD_L_022,DNBSEQ,V350036025,/data/storage/checked/Endometrial_cancer/EC_FD_L_022_N_4.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_022_N_4.R2.fastq.gz
EC_FD_L_022_N_5,FD_L_022_N,N,FD_L_022,DNBSEQ,V350036025,/data/storage/checked/Endometrial_cancer/EC_FD_L_022_N_5.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_022_N_5.R2.fastq.gz
EC_FD_L_050_C_1,FD_L_050_C,T,FD_L_050,DNBSEQ,V350038721,/data/storage/checked/Endometrial_cancer/EC_FD_L_050_C_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_050_C_1.R2.fastq.gz
EC_FD_L_050_C_2,FD_L_050_C,T,FD_L_050,DNBSEQ,V350038721,/data/storage/checked/Endometrial_cancer/EC_FD_L_050_C_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_050_C_2.R2.fastq.gz
EC_FD_L_053_N_1,FD_L_053_N,N,FD_L_053,DNBSEQ,E100019203,/data/storage/checked/Endometrial_cancer/EC_FD_L_053_N_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_053_N_1.R2.fastq.gz
EC_FD_L_053_N_2,FD_L_053_N,N,FD_L_053,DNBSEQ,E100019203,/data/storage/checked/Endometrial_cancer/EC_FD_L_053_N_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_053_N_2.R2.fastq.gz
EC_FD_L_053_N_3,FD_L_053_N,N,FD_L_053,DNBSEQ,E100019203,/data/storage/checked/Endometrial_cancer/EC_FD_L_053_N_3.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_053_N_3.R2.fastq.gz
EC_FD_L_053_N_4,FD_L_053_N,N,FD_L_053,DNBSEQ,E100019203,/data/storage/checked/Endometrial_cancer/EC_FD_L_053_N_4.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_053_N_4.R2.fastq.gz
EC_FD_L_053_N_5,FD_L_053_N,N,FD_L_053,DNBSEQ,E100019203,/data/storage/checked/Endometrial_cancer/EC_FD_L_053_N_5.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_053_N_5.R2.fastq.gz
EC_FD_L_066_C_1,FD_L_066_C,T,FD_L_066,DNBSEQ,V350039583,/data/storage/checked/Endometrial_cancer/EC_FD_L_066_C_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_066_C_1.R2.fastq.gz
EC_FD_L_066_C_2,FD_L_066_C,T,FD_L_066,DNBSEQ,V350039583,/data/storage/checked/Endometrial_cancer/EC_FD_L_066_C_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_066_C_2.R2.fastq.gz
EC_FD_L_075_C_1,FD_L_075_C,T,FD_L_075,DNBSEQ,V350036016,/data/storage/checked/Endometrial_cancer/EC_FD_L_075_C_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_075_C_1.R2.fastq.gz
EC_FD_L_075_C_2,FD_L_075_C,T,FD_L_075,DNBSEQ,V350036016,/data/storage/checked/Endometrial_cancer/EC_FD_L_075_C_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_075_C_2.R2.fastq.gz
EC_FD_L_076_C_1,FD_L_076_C,T,FD_L_076,DNBSEQ,V350033548,/data/storage/checked/Endometrial_cancer/EC_FD_L_076_C_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_076_C_1.R2.fastq.gz
EC_FD_L_076_C_2,FD_L_076_C,T,FD_L_076,DNBSEQ,V350033548,/data/storage/checked/Endometrial_cancer/EC_FD_L_076_C_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_076_C_2.R2.fastq.gz
EC_TJ_E_003_C_1,TJ_E_003_C,T,TJ_E_003,DNBSEQ,V350040107,/data/storage/checked/Endometrial_cancer/EC_TJ_E_003_C_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_E_003_C_1.R2.fastq.gz
EC_TJ_E_003_C_2,TJ_E_003_C,T,TJ_E_003,DNBSEQ,V350039736,/data/storage/checked/Endometrial_cancer/EC_TJ_E_003_C_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_E_003_C_2.R2.fastq.gz
EC_TJ_E_042_C_1,TJ_E_042_C,T,TJ_E_042,DNBSEQ,V350036025,/data/storage/checked/Endometrial_cancer/EC_TJ_E_042_C_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_E_042_C_1.R2.fastq.gz
EC_TJ_E_042_C_2,TJ_E_042_C,T,TJ_E_042,DNBSEQ,V350036025,/data/storage/checked/Endometrial_cancer/EC_TJ_E_042_C_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_E_042_C_2.R2.fastq.gz
EC_TJ_L_002_N_1,TJ_L_002_N,N,TJ_L_002,DNBSEQ,V350038721,/data/storage/checked/Endometrial_cancer/EC_TJ_L_002_N_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_002_N_1.R2.fastq.gz
EC_TJ_L_002_N_2,TJ_L_002_N,N,TJ_L_002,DNBSEQ,V350038721,/data/storage/checked/Endometrial_cancer/EC_TJ_L_002_N_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_002_N_2.R2.fastq.gz
EC_TJ_L_002_N_3,TJ_L_002_N,N,TJ_L_002,DNBSEQ,V350038721,/data/storage/checked/Endometrial_cancer/EC_TJ_L_002_N_3.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_002_N_3.R2.fastq.gz
EC_TJ_L_002_N_4,TJ_L_002_N,N,TJ_L_002,DNBSEQ,V350040107,/data/storage/checked/Endometrial_cancer/EC_TJ_L_002_N_4.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_002_N_4.R2.fastq.gz
EC_TJ_L_002_N_5,TJ_L_002_N,N,TJ_L_002,DNBSEQ,E100019192,/data/storage/checked/Endometrial_cancer/EC_TJ_L_002_N_5.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_002_N_5.R2.fastq.gz
EC_TJ_L_005_LN_1,TJ_L_005_LN,T,TJ_L_005,DNBSEQ,V350039569,/data/storage/checked/Endometrial_cancer/EC_TJ_L_005_LN_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_005_LN_1.R2.fastq.gz
EC_TJ_L_005_LN_2,TJ_L_005_LN,T,TJ_L_005,DNBSEQ,V350039569,/data/storage/checked/Endometrial_cancer/EC_TJ_L_005_LN_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_005_LN_2.R2.fastq.gz
EC_TJ_L_005_LN_3,TJ_L_005_LN,T,TJ_L_005,DNBSEQ,V350039569,/data/storage/checked/Endometrial_cancer/EC_TJ_L_005_LN_3.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_005_LN_3.R2.fastq.gz
EC_TJ_L_005_LN_4,TJ_L_005_LN,T,TJ_L_005,DNBSEQ,V350039569,/data/storage/checked/Endometrial_cancer/EC_TJ_L_005_LN_4.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_005_LN_4.R2.fastq.gz
EC_TJ_L_005_LN_5,TJ_L_005_LN,T,TJ_L_005,DNBSEQ,V350040107,/data/storage/checked/Endometrial_cancer/EC_TJ_L_005_LN_5.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_005_LN_5.R2.fastq.gz
EC_TJ_L_007_C_1,TJ_L_007_C,T,TJ_L_007,DNBSEQ,V350036048,/data/storage/checked/Endometrial_cancer/EC_TJ_L_007_C_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_007_C_1.R2.fastq.gz
EC_TJ_L_007_C_2,TJ_L_007_C,T,TJ_L_007,DNBSEQ,V350040107,/data/storage/checked/Endometrial_cancer/EC_TJ_L_007_C_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_007_C_2.R2.fastq.gz
EC_TJ_L_007_C_3,TJ_L_007_C,T,TJ_L_007,DNBSEQ,E100019192,/data/storage/checked/Endometrial_cancer/EC_TJ_L_007_C_3.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_007_C_3.R2.fastq.gz
EC_TJ_L_007_C_4,TJ_L_007_C,T,TJ_L_007,DNBSEQ,E100019192,/data/storage/checked/Endometrial_cancer/EC_TJ_L_007_C_4.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_007_C_4.R2.fastq.gz
EC_TJ_L_007_C_5,TJ_L_007_C,T,TJ_L_007,DNBSEQ,E100019192,/data/storage/checked/Endometrial_cancer/EC_TJ_L_007_C_5.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_007_C_5.R2.fastq.gz
EC_TJ_L_009_C_1,TJ_L_009_C,T,TJ_L_009,DNBSEQ,V350038465,/data/storage/checked/Endometrial_cancer/EC_TJ_L_009_C_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_009_C_1.R2.fastq.gz
EC_TJ_L_009_C_2,TJ_L_009_C,T,TJ_L_009,DNBSEQ,V350038465,/data/storage/checked/Endometrial_cancer/EC_TJ_L_009_C_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_009_C_2.R2.fastq.gz
EC_TJ_L_009_C_3,TJ_L_009_C,T,TJ_L_009,DNBSEQ,V350038465,/data/storage/checked/Endometrial_cancer/EC_TJ_L_009_C_3.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_009_C_3.R2.fastq.gz
EC_TJ_L_009_C_4,TJ_L_009_C,T,TJ_L_009,DNBSEQ,V350038465,/data/storage/checked/Endometrial_cancer/EC_TJ_L_009_C_4.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_009_C_4.R2.fastq.gz
EC_TJ_L_009_C_5,TJ_L_009_C,T,TJ_L_009,DNBSEQ,V350038465,/data/storage/checked/Endometrial_cancer/EC_TJ_L_009_C_5.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_009_C_5.R2.fastq.gz
EC_TJ_L_010_C_1,TJ_L_010_C,T,TJ_L_010,DNBSEQ,V350037194,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_C_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_C_1.R2.fastq.gz
EC_TJ_L_010_C_2,TJ_L_010_C,T,TJ_L_010,DNBSEQ,V350038465,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_C_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_C_2.R2.fastq.gz
EC_TJ_L_010_C_3,TJ_L_010_C,T,TJ_L_010,DNBSEQ,V350037194,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_C_3.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_C_3.R2.fastq.gz
EC_TJ_L_010_C_4,TJ_L_010_C,T,TJ_L_010,DNBSEQ,V350037194,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_C_4.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_C_4.R2.fastq.gz
EC_TJ_L_010_C_5,TJ_L_010_C,T,TJ_L_010,DNBSEQ,V350038465,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_C_5.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_C_5.R2.fastq.gz
EC_TJ_L_010_N_1,TJ_L_010_N,N,TJ_L_010,DNBSEQ,V350037194,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_N_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_N_1.R2.fastq.gz
EC_TJ_L_010_N_2,TJ_L_010_N,N,TJ_L_010,DNBSEQ,V350050437,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_N_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_N_2.R2.fastq.gz
EC_TJ_L_010_N_3,TJ_L_010_N,N,TJ_L_010,DNBSEQ,V350037194,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_N_3.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_N_3.R2.fastq.gz
EC_TJ_L_010_N_4,TJ_L_010_N,N,TJ_L_010,DNBSEQ,V350037194,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_N_4.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_N_4.R2.fastq.gz
EC_TJ_L_010_N_5,TJ_L_010_N,N,TJ_L_010,DNBSEQ,V350050437,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_N_5.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_010_N_5.R2.fastq.gz
EC_TJ_L_011_LN_1,TJ_L_011_LN,T,TJ_L_011,DNBSEQ,V350037194,/data/storage/checked/Endometrial_cancer/EC_TJ_L_011_LN_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_011_LN_1.R2.fastq.gz
EC_TJ_L_011_LN_2,TJ_L_011_LN,T,TJ_L_011,DNBSEQ,V350050437,/data/storage/checked/Endometrial_cancer/EC_TJ_L_011_LN_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_011_LN_2.R2.fastq.gz
EC_TJ_L_011_LN_3,TJ_L_011_LN,T,TJ_L_011,DNBSEQ,V350050437,/data/storage/checked/Endometrial_cancer/EC_TJ_L_011_LN_3.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_011_LN_3.R2.fastq.gz
EC_TJ_L_011_LN_4,TJ_L_011_LN,T,TJ_L_011,DNBSEQ,V350050437,/data/storage/checked/Endometrial_cancer/EC_TJ_L_011_LN_4.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_011_LN_4.R2.fastq.gz
EC_TJ_L_011_LN_5,TJ_L_011_LN,T,TJ_L_011,DNBSEQ,V350050437,/data/storage/checked/Endometrial_cancer/EC_TJ_L_011_LN_5.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_011_LN_5.R2.fastq.gz
EC_TJ_L_012_LN_1,TJ_L_012_LN,T,TJ_L_012,DNBSEQ,V350050437,/data/storage/checked/Endometrial_cancer/EC_TJ_L_012_LN_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_012_LN_1.R2.fastq.gz
EC_TJ_L_012_LN_2,TJ_L_012_LN,T,TJ_L_012,DNBSEQ,V350050437,/data/storage/checked/Endometrial_cancer/EC_TJ_L_012_LN_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_012_LN_2.R2.fastq.gz
EC_TJ_L_012_LN_3,TJ_L_012_LN,T,TJ_L_012,DNBSEQ,V350050437,/data/storage/checked/Endometrial_cancer/EC_TJ_L_012_LN_3.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_012_LN_3.R2.fastq.gz
EC_TJ_L_012_LN_4,TJ_L_012_LN,T,TJ_L_012,DNBSEQ,V350050437,/data/storage/checked/Endometrial_cancer/EC_TJ_L_012_LN_4.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_012_LN_4.R2.fastq.gz
EC_TJ_L_012_LN_5,TJ_L_012_LN,T,TJ_L_012,DNBSEQ,V350048551,/data/storage/checked/Endometrial_cancer/EC_TJ_L_012_LN_5.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_012_LN_5.R2.fastq.gz
EC_TJ_L_013_LN_1,TJ_L_013_LN,T,TJ_L_013,DNBSEQ,V350048551,/data/storage/checked/Endometrial_cancer/EC_TJ_L_013_LN_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_013_LN_1.R2.fastq.gz
EC_TJ_L_013_LN_2,TJ_L_013_LN,T,TJ_L_013,DNBSEQ,V350048551,/data/storage/checked/Endometrial_cancer/EC_TJ_L_013_LN_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_013_LN_2.R2.fastq.gz
EC_TJ_L_013_LN_3,TJ_L_013_LN,T,TJ_L_013,DNBSEQ,V350048551,/data/storage/checked/Endometrial_cancer/EC_TJ_L_013_LN_3.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_013_LN_3.R2.fastq.gz
EC_TJ_L_013_LN_4,TJ_L_013_LN,T,TJ_L_013,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_013_LN_4.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_013_LN_4.R2.fastq.gz
EC_TJ_L_013_LN_5,TJ_L_013_LN,T,TJ_L_013,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_013_LN_5.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_013_LN_5.R2.fastq.gz
EC_TJ_L_014_N_1,TJ_L_014_N,N,TJ_L_014,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_014_N_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_014_N_1.R2.fastq.gz
EC_TJ_L_014_N_2,TJ_L_014_N,N,TJ_L_014,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_014_N_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_014_N_2.R2.fastq.gz
EC_TJ_L_014_N_3,TJ_L_014_N,N,TJ_L_014,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_014_N_3.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_014_N_3.R2.fastq.gz
EC_TJ_L_014_N_4,TJ_L_014_N,N,TJ_L_014,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_014_N_4.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_014_N_4.R2.fastq.gz
EC_TJ_L_014_N_5,TJ_L_014_N,N,TJ_L_014,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_014_N_5.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_014_N_5.R2.fastq.gz
EC_TJ_L_015_C_1,TJ_L_015_C,T,TJ_L_015,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_C_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_C_1.R2.fastq.gz
EC_TJ_L_015_C_2,TJ_L_015_C,T,TJ_L_015,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_C_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_C_2.R2.fastq.gz
EC_TJ_L_015_C_3,TJ_L_015_C,T,TJ_L_015,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_C_3.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_C_3.R2.fastq.gz
EC_TJ_L_015_C_4,TJ_L_015_C,T,TJ_L_015,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_C_4.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_C_4.R2.fastq.gz
EC_TJ_L_015_C_5,TJ_L_015_C,T,TJ_L_015,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_C_5.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_C_5.R2.fastq.gz
EC_TJ_L_015_N_1,TJ_L_015_N,N,TJ_L_015,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_N_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_N_1.R2.fastq.gz
EC_TJ_L_015_N_2,TJ_L_015_N,N,TJ_L_015,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_N_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_N_2.R2.fastq.gz
EC_TJ_L_015_N_3,TJ_L_015_N,N,TJ_L_015,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_N_3.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_N_3.R2.fastq.gz
EC_TJ_L_015_N_4,TJ_L_015_N,N,TJ_L_015,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_N_4.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_N_4.R2.fastq.gz
EC_TJ_L_015_N_5,TJ_L_015_N,N,TJ_L_015,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_N_5.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_015_N_5.R2.fastq.gz
EC_TJ_L_016_C_1,TJ_L_016_C,T,TJ_L_016,DNBSEQ,V350033592,/data/storage/checked/Endometrial_cancer/EC_TJ_L_016_C_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_TJ_L_016_C_1.R2.fastq.gz
